typical month	name	caller1	caller2	caller3	caller4	caller5	caller6	band1	band2	band3	band4	band5	band6	roles	start date	end date	location	url	
3	Beantown Stomp	Alex Deis-Lauby	Adina Gordon					Stove Dragon	Julie Metcalf and Larry Unger					Larks / Robins	3/14/2025	3/16/2025	Cambridge MA	https://www.beantownstomp.com	
3	Spring @ Sautee	Warren Doyle	Claire Takemori					Toss the Possum	The Dog Walkers						3/21/2025	3/25/2025	Sautee Nacoochee GA	https://www.snca.org/contra/danceWeekend/page.php	
3	Hash Dance Weekend	Lisa Greenleaf	River Rainbowface Abel					The Free Raisins	Bowrider					Larks / Robins	3/29/2025	3/30/2025	Glen Echo MD	https://fsgw.org/hashtag-dance-weekend	
3	Palmetto Bug Stomp	Diane Silver	Cis Hinkle					Contraforce	Playing with Fyre						2/28/2025	3/2/2025	Charleston SC	http://charlestonfolk.weebly.com/palmetto-bug-stomp.html	
4	Contra Camp	Louise Siddons	Heather McAslan					WillPower						Larks / Robins	5/9/2025	5/11/2025	Halsway UK	https://halswaymanor.org.uk/event/contra-camp-2025/	
4	Dancing Fish: Wild Asparagus	George Marshall						Wild Asparagus							4/18/2025	4/20/2025	Melrose FL	https://dancingfish.dance/	
4	Epicenter dance weekend	Lisa Greenleaf	Michael Karcher					Supertrad	The Engine Room					Larks / Robins	4/4/2025	4/6/2025	Mill Valley CA	https://nbcds.org/epicenter-2024/	
4	SF Bay Queer Contra Dance Camp	Angela DeCarlis	Sue Rosen					The Sage Thrashers	Starling					Larks / Robins	4/11/2025	4/13/2025	Aptos CA	https://www.queercontradance.org/queercamp.html	
4	Call of the Loon Dance Weekend	Seth Tepfer	Steve Pike					The Dam Beavers	Contratopia						4/11/2025	4/13/2025	Minneapolis MN	https://www.tapestryfolkdance.org/call-of-the-loon	
4	Springforth Ball	Bob Isaacs						Playing with Fyre							4/11/2025	4/13/2025	Richmond VA	https://tadamsva.org/springforth-ball-2025/	
4	NEFFA	Melanie Axel-Lute	Donna Hunt	Maia McCormick	Dereck Kalish			Roaring Jelly	Joy Factor	Kingfisher	Torrent			Larks / Robins	4/25/2025	4/27/2025	Marlborough MA	https://www.neffa.org/	
	continued	Hannah Johlas	Michael Karcher	Lisa Greenleaf	Chris Page			Confluence	Festival Orchestra	Not Enough Fiddles	Live Wire	Rum & Onions							
	continued	Darlene Underwood	Sue Rosen	Ben Sachs-Hamilton	Alex Deis-Lauby	Jacob Bloom	Bev Bernbaum	The Orphans	Dogtown	The Moving Violations	Einstein's Little Homunculus	Jump Start							
	continued	Sue Gola	Carl Levine	Steve Zakon-Anderson	Julian Blechner	Harris Lapiroff	Qwill Duvall	Sugar River Band	Zarkadelphia	Tabbies' Delight	Chimney Swift	Cojiro							
5	Spring Thaw Weekend	Will Mentor	Rick Szumski  					Stomp Rocket	Unnamed						5/9/2025	5/10/2025	Toronto ON	https://tcdance.org/thaw2025.php	
4	Fiddlehead Frolic	Adina Gordon						The Moving Violations	Unnamed						3/29/2025	3/29/2025	Ithaca NY	https://www.hands4dancers.org/upcoming-dances/2025/3/29/fiddlehead-frolic	
4	Hands Four Spring Dance Weekend	Timothy Klein	Chris Bischoff					Hot Coffee Breakdown	Berea Castoffs						4/25/2025	4/27/2025	Berea KY	https://www.hands4-berea.com/	
4	Dandelion Romp	Gaye Fifer	Will Mentor					River Road	Northwoods					Larks / Robins	4/18/2025	4/20/2025	Oberlin OH	https://advance.oberlin.edu/events/2024/04/19/dandelion-romp-2024	
4	Trillium Twirl	Bob Isaacs						Toss the Possum							4/25/2025	4/27/2025	Dowling MI	https://michigandanceheritage.org/trilliumtwirl/	
4	Portland Raindance Weekend	Will Mentor	Gaye Fifer					Red Case Band	Riptide						4/25/2025	4/27/2025	Portland OR	http://www.portlandraindance.org/	
4	Contra Holiday in Medieval England	George Marshall	Terry Doyle	Janet Shepherd	Charlie Turner			Wild Asparagus	Contrasaurus					Gents / Ladies	4/2/2025	4/9/2025	Ely UK	www.contraholiday.net	
4	When in Doubt Swing	Jeremy Korr						Steam							4/25/2025	4/27/2025	Dallas TX	https://www.nttds.org/wids2025/home.html	
5	Apple Blossom Bliss	Lisa Greenleaf	Maeve Devlin					River Road	The Jig Lords						5/9/2025	5/11/2025	Ann Arbor MI	https://aactmad.org/appleblossombliss	
5	Dancing Fish: May	Angela DeCarlis						Lift Ticket							5/2/2025	5/3/2025	Melrose FL	https://dancingfish.dance/	
5	Whitewater Whirl	Darlene Underwood	Michael Karcher					Supertrad	The Johns						5/2/2025	5/4/2025	Fayetteville WV	https://www.footmad.org/whirl	
5	Lake Eden Arts Festival - Spring														5/8/2025	5/11/2025	Black Mountain NC	https://theleaf.org/	
5	Meet Me in St Louis Dance Weekend	Emily Rush						Supertrad	Mound City Slickers						5/23/2025	5/26/2025	Webster Groves MO	https://childgrove.org/stl-dance-weekends/meetmeinstlouis	
5	FolkMADness Music & Dance Camp	Alex Deis-Lauby	Gaye Fifer					Unnamed	Unnamed	Unnamed					5/23/2025	5/26/2025	Soccoro NM	http://folkmads.org/events/camps/folkmadness/	
5	Dancing Bear Dance Camp	Will Mentor	Lindsey Dono					River Road	Rhys Jones and the Imaginary Beings						5/23/2025	5/26/2025	Wasilla AK	https://www.thedancingbears.org/dance-camp-1	
5	Spring Dance Romance	Adina Gordon	Jacqui Grennan					Stomp Rocket	Countercurrent					Larks / Robins	4/25/2025	4/27/2025	Carrboro NC	https://tcdancers.org/sdr	
5	Northwest Folklife																Seattle WA	https://nwfolklife.org/festival/home.html	
5	Moulin d’Andé Weekend													Hommes/Femmes			Moulin d'Ande, Normandy, France	https://sites.google.com/site/americancontradanceinparis/	
5	Contradancers Delight Holiday (Spring)	Terry Doyle	Bob Isaacs	Devin Pohly	Warren Doyle			Toss the Possum	Playing with Fyre	Atlanta Folk Orchestra	Ed Howe & Friends	Buzz Band		Ladies/Gents	5/9/2025	5/16/2025	Mountain City TN	https://www.contradancersdelight.com/	
5	Butterfly Whirl	Jacqui Grennan	Seth Tepfer					Stomp Rocket	Thunderwing					Larks/Robins	5/23/2025	5/25/2025	Decatur GA	http://www.dancerhapsody.com/special-events/	
5	Chain Reaction	Alyssa Adkins	Will Mentor					Drive Train	The Engine Room					Larks/Robins	5/30/2025	6/1/2025	Surry ME	https://www.tickettailor.com/events/chainreactiondance/1462651	
6	Summer Soiree	Steve Zakon-Anderson	Adina Gordon					The Mean Lids	Kingfisher						6/12/2025	6/15/2025	Asheville NC	https://www.ashevillecontra.com/	
6	Stegastomp																Harbury UK	https://www.contrasaurus.com/stegastomp.html	
6	Dance Trance Weekend	Darlene Underwood	Terry Doyle					Toss the Possum							6/6/2025	6/8/2025	Lexington KY	https://www.dancetrance.ltda.us/	
6	Dancing Fish: June																Melrose FL	https://dancingfish.dance/	
6	Gender-Free Dance Camp (Spring)	Mary Wesley	Chris Ricciotti					Calico	Northwoods					Larks / Robins	6/6/2025	6/8/2025	Plymouth MA	https://www.lcfd.org/lcfd-camps.html	
6	Flamingo Fling Weekend	Alex Deis-Lauby						River Road							6/13/2025	6/15/2025	Oklahoma City OK	http://scissortail.org/special-events/flamingo-fling/	
6	Swing into Summer	Luke Donforth						Topspin	The Pegasus Collective					Larks / Robins			Plymouth MA	http://www.swingintosummer.org/	
6	Lady of the Lake June Week	Gaye Fifer	Lindsey Dono	Luke Donforth				The Dam Beavers	Fiddle Hellions	Root System				Larks / Robins	6/22/2025	6/28/2025	Harrison, ID	http://www.ladyofthelake.org/june-week/	
6	Old Songs Festival							Wild Asparagus									Voorheesville NY	http://festival.oldsongs.org/	
6	BACDS Family Week																La Honda CA	https://www.bacds.org/familyweek/	
6	American Buffalo Contra Dance Weekend																Bloomery WV		
6	Dance, Music & Spice at Cavell	Lindsey Dono						Countercurrent							6/14/2025	6/21/2025	Lexington MI	https://camp.cdss.org/camp-weeks/dance-music-spice-at-cavell/	
6	Taste of Haven	Gaye Fifer	Dwayne Johnson					The Dam Beavers	Bobcat Opposum						6/6/2025	6/8/2025	Syracuse IN	https://www.contracorners.net/event-type/dance-weekend/	
7	AmWeek														6/29/2025	7/4/2025	Ben Lomond CA	https://amweek.camp/	
7	Southern Aire: Dawn Dance	Bob Isaacs	Terry Doyle	Sue Gola	Kenny Greer	Amanda Setili									7/25/2025	7/27/2025	Mountain City TN	https://joyboundliving.com/dawn-dance	
	continued	Rob Setili	Stephanie Marie	Elijah Jaime	Katie Zanders														
7	Dancing Fish: July	Luke Donforth	Bob Isaacs					Kingfisher	Crossover						7/4/2025	7/5/2025	Melrose FL	https://dancingfish.dance/	
7	Cumberland Dance Week	Wendy Graham Settle	Seth Tepfer					The Cosmic Otters							6/29/2025	7/4/2025	Pleasantville TN	https://camp.cumberlanddanceweek.org/	
7	July Fourth at Pinewoods	Mary Wesley												Larks / Robins	6/26/2025	6/30/2025	Plymouth MA	https://cds-boston-j4weekend.weebly.com/	
7	Pinewoods English-Scottish-Contra	Ben Sachs-Hamilton						Frost and Fire						Larks / Robins	6/30/2025	7/4/2025	Plymouth MA	https://rscdsboston.org/pinewoods-esc.html	
7	Roanoke Railroader	Will Mentor	Gaye Fifer					Toss the Possum	Latter Day Lizards	Rushfest					7/3/2025	7/6/2025	Salem VA	http://www.roanokerailroader.com/	
7	Ashokan Northern Week	Will Mentor	Susan Kevra	John Krumm				Lighthouse							7/13/2025	7/19/2025	Olivebridge NY	https://ashokancenter.org/product/northern-week-2024/	
7	American Dance & Music Week at Pinewoods	Janine Smith	Michael Karcher	Lisa Greenleaf				The Stringrays							7/19/2025	7/26/2025	Plymouth MA	https://camp.cdss.org/camp-weeks/american-dance-music-week-2/	
7	Harmony of Song & Dance at Pinewoods	Gaye Fifer	Adina Gordon					Countercurrent							7/26/2025	8/2/2025	Plymouth MA	https://camp.cdss.org/camp-weeks/harmony-of-song-dance-at-pinewoods/	
8	Sugar Hill Dance Weekend														8/22/2025	8/24/2025	Bloomington IN	http://bloomingtoncontra.org/sugar-hill/	
8	Family Week at Agassiz Village														8/11/2025	8/17/2025	Poland ME	https://camp.cdss.org/camp-weeks/family-week-at-agassiz-village-2/	
8	Cascade of Music & Dance at Louise														8/11/2025	8/17/2025	Cascade MD	https://camp.cdss.org/camp-weeks/cascade-of-music-dance-at-louise/	
8	Campers’ Week at Pinewoods														8/16/2025	8/23/2025	Plymouth MA	https://camp.cdss.org/camp-weeks/campers-week-at-pinewoods/	
8	Falcon Ridge Folk Festival																Goshen CT	http://falconridgefolk.com/	
8	Camp Damp																Juneau AK	http://www.juneaucontras.org/dance_camp_2023_stay_tuned.html	
8	Good Life Gallup														8/15/2025	8/17/2025	Omaha NE	https://www.thegoodlifegallop.org/	
8	Mentone	Cis Hinkle	Chet Gray					Turnip the Beet	The Yellow Dandies						8/15/2025	8/17/2025	Mentone AL	http://www.footmadbirmingham.org/mentone.html	
8	Balance the Bay	Will Mentor	Alex Deis-Lauby					Latter Day Lizards	River Road						8/15/2025	8/17/2025	San Francisco CA	https://www.bacds.org/camps/btb2025/	
8	TradMaD														8/23/2025	8/29/2025	Plymouth MA	http://minstrelrecords.com/tradmad/	
9	Dancing Fish: Labor Day							Howe And Company							8/29/2025	8/31/2025	Melrose FL	https://dancingfish.dance/	
9	Contravana																Rochester NY	https://cdrochester.org/	
9	Rendezvous Dance Weekend	Will Mentor	Alex Deis-Lauby					Stove Dragon	Spintuition						8/29/2025	9/1/2025	Boulder CO	https://cfootmad.org/rendezvous	
9	Michigan Dance Heritage Fall Weekend																Lexington MI	https://michigandanceheritage.org/fall/	
9	Dance Camp North																Fairbanks AK	https://contraborealis.org/dance-camp-north/	
9	Feet Retreat	Will Mentor	Cis Hinkle	Emily Rush	Gaye Fifer			Supertrad	River Road						9/19/2025	9/21/2025	Ellerbe NC	https://www.feetretreat.com/feet-retreat-2025/	
9	Bear Hug Dance Camp	Michael Karcher	Emily Faulkner					Countercurrent	Banna Damhsa						9/5/2025	9/7/2025	Rollins MT	https://www.missoulafolk.org/bearhug	
9	Squirrel Moon Contra Dance weekend	Lisa Greenleaf						Lift Ticket							9/19/2025	9/21/2025	Dodgeville WI	http://www.squirrelmoon.org/	
9	Echo Summit																Camp Sacremento	https://sactocds.wordpress.com/special-events/echo-summit-dance-camp-2025	
9	Pinewoods Labor Day Weekend														8/29/2025	9/2/2025	Plymouth MA	https://facone.org/labor-day-weekend/labor-day-weekend.html	
9	Chehalis Dance Weekend	Koren Wake	Jeremy Korr					The Free Raisins	Joyride						9/19/2025	9/21/2025	Surrey BC	https://chehalisdancecamp.com/	
9	Youth Dance Weekend													Larks / Robins			Weston VT	http://youthdanceweekend.org/	
9	Adirondack Dance Weekend	Will Mentor	Gaye Fifer					River Road	Lighthouse	Eloise &co					9/26/2025	9/28/2025	Silver Bay NY	https://www.danceflurry.org/adirondack-dance-weekend/	
9	Cascade Contras Dance Camp																Springfield OR	https://eugenefolklore.org/cascade-contras/	
9	Butterfly Twirl	Gaye Fifer	Darlene Underwood					Hot Coffee Breakdown	Playing with Fyre						9/12/2025	9/14/2025	Chagrin Falls OH	https://www.facebook.com/events/1279189076745356/	
9	Balance The Star Dance Weekend	Wendy Graham Settle													9/27/2025	9/28/2025	Berea KY	https://www.berea-folk-circle.org/fall-mountain-folk-festival	
10	Moondance Dance Weekend	Bob Isaacs	Diane Silver					Lagomorph Quartet	Good & Plenty						10/3/2025	10/5/2025	Pickens SC	https://moondancesc.weebly.com/	
10	Dancing Fish: October	Alex Deis-Lauby						Free Raisins							10/3/2025	10/4/2025	Melrose FL	https://dancingfish.dance/	
10	ContraStock														9/7/2025	9/7/2025	Glen Echo MD	https://fsgw.org/contrastock	
10	Wasatch Wiggle																Salt Lake City UT	https://wasatchcontras.org/ww/	
10	Lady of the Lake Fall Camp	Susan Petrick	William Watson					Stringrays	Dog Paw						10/3/2025	10/5/2025	Harrison, ID	http://www.ladyofthelake.org/fallwend/	
10	Harvest Moon Dance Festival	Rick Mohr	Anna Rain					Gaslight Tinkers	Topspin						10/10/2025	10/12/2025	Santa Barbara CA	http://www.sbcds.org/hm/	
10	Gender-Free Dance Camp (Fall)																Olivebridge NY	https://www.lcfd.org/lcfd/	
10	Phylla Mae Fall Fest																Fayetteville NY	https://syracusecountrydancers.org/special-events/phylla-mae-fall-fest/	
10	Peterbough Fall Ball														10/25/2025	10/25/2025	Peterborough NH	https://www.monadnockfolk.org/event/%E2%98%BC-%E2%98%BC-%E2%98%BC-peterborough-fall-ball-saturday-october-25-2025/	
10	Lake Eden Arts Festival - Fall																Black Mountain NC	https://theleaf.org/	
10	Music City Masquerade	Darlene Underwood						The Engine Room							10/24/2025	10/26/2025	Nashville TN	http://nashvillecountrydancers.org/music-city-masquerade/	
10	Fire Ant Frolic	Steve Zakon-Anderson						Northwoods							11/14/2025	11/16/2025	Austin TX	http://www.fireantfrolic.org/	
10	Contra NYC	Will Mentor						Red Case Band	Kingfisher	Some Assembly Required					10/24/2025	10/26/2025	New York NY	https://www.contradance.nyc/	
10	Mountain Madness														10/10/2025	10/12/2025	Jonesborough TN	https://historicjonesboroughdancesociety.net	
10	John C Campbell Fall Dance Weekend	Wendy Graham	Carol Sersland					Unnamed	Supertrad						10/9/2025	10/12/2025	Brasstown NC	https://folkschool.configio.com/pd/3332/fall-dance-weekend-long-weekend	
11	Foggy Moon Dance Weekend	Alex Deis-Lauby	Lisa Greenleaf					Countercurrent	The Stringrays						10/31/2025	11/2/2025	Monterey CA	http://montereycontradance.org/foggy-moon.html	
11	Hey Fever Dance Weekend	Mary Wesley	Will Mentor					Good Company	River Road						10/31/2025	11/2/2025	Ottawa ON	http://www.ottawacontra.ca/heyFever/	
11	Dance in the Desert	Koren Wake	Steve Zakon-Anderson					The Free Raisins	The Faux Paws						11/7/2025	11/9/2025	Oracle AZ	https://tucsoncontradancers.org/tucson-contra-dancers/dance-in-the-desert-2024/	
11	Pittsburgh Fall Dance Weekend	Gaye Fifer	Will Mentor					The Dam Beavers	Topspin					Larks / Robins	10/17/2025	10/19/2025	Pittsburgh PA	http://pittsburghcontra.org/fdw/	
11	Head for the Hills Dance Weekend														11/7/2025	11/9/2025	Kresgeville PA	http://www.princetoncountrydancers.org/about-hfth	
11	Rose City Dance-a-Rama																Portland OR	https://www.dancearama.org/	
11	Atlanta Dance Weekend	Alex Deis-Lauby	Cis Hinkle					River Road	Dam Beavers								Atlanta GA	https://adw.contradance.org/	
11	Contra Fest																Albany NY	https://www.danceflurry.org/event/contrafest/	
11	Fleur-de-Lis Fling																Louisville KY	http://www.louisvillecountrydancers.org/fleur-de-lis-fling	
11	ContraCopia														11/28/2025	11/30/2025	Philadelphia PA	http://www.thursdaycontra.com/contracopia/	
11	Breaking Up Thanksgiving																Evanston IL	https://www.breakingupthanksgiving.com/	
11	Catalina Dance Weekend																Catalina Island CA	https://www.catalinadanceweekend.com/	
12	Dancing Fish: December	Dereck Kalish						Thunderwing							12/5/2025	12/6/2025	Melrose FL	https://dancingfish.dance/	
12	Winter Warmup Dance Weekend																Worthington OH	https://bigscioty.com/winterwarmup/	
12	Contradancers Delight Holiday (Winter)	Terry Doyle	Bob Isaacs	Devin Pohly	Warren Doyle			Toss the Possum	Spintuition	Buzz Band	George Paul			Ladies/Gents	12/26/2025	12/31/2025	Morgantown, WV	http://www.contradancersdelight.com/about-winter-cdh	
12	Bash on Vashon																Vashon Island WA	https://bashonvashon.org/	
12	Berea Christmas Country Dance School																Berea KY	https://bereaccds.org/	
12	Terpsichore's Holiday																Adamstown MD	https://terpsichore.lloydshaw.org/	
	end of active list																		
	check with emily rush to get full gig list																		
1	Orange Blossom Ball																Daytona FL	http://www.orangeblossomcontra.com/	
1	Contra Dream																Dayton VA	https://shenandoahvalleycontradance.weebly.com/contra-dream-2020.html	
1	Peterborough Snow Ball																Peterborough NH	http://www.monadnockfolk.org/?tribe_events=%E2%98%BC-%E2%98%BC-%E2%98%BC-peterborough-snow-ball-2018	
1	Wintergreen Dance Weekend																Bozeman MT	https://bozemanfolklore.org/wintergreen-2024/	
2	Fairbanks Winter Weekend																Fairbanks AK	https://contraborealis.org/winter-dance-weekend-2019/	
2	Chance Dance Weekend																Cape Girardeau MO	http://chance-dance.angelfire.com/	
2	Dancing with the GODS																Gainesville FL	http://godsdance.org/?q=weekend2019	
3	Tropical Dance Vacation: Hawaii																Big Island HI	http://www.tropicaldancevacation.com/	
3	Appleseed Allemande																North Manchester IN	http://www.contrafortwayne.org/Appleseed%20Allemande.html	
4	Chesapeake Dance Weekend																Edgewater MD	http://www.chesapeakedanceweekend.org/	
4	Desert Spring																Phoenix AZ	http://www.danceinaz.org/	
4	Spring Fling Owen Sound																Owen Sound ON	http://fiddlefern.ca/spring-fling/	
4	Mad Robin Romp																Bloomington IA	http://bloomingtoncontra.org/mad-robin-romp/	
	Contra Holiday in Medieval England																Ely, England	https://contraholiday.net/	next in 2025
5	Almost Heaven Dance Weekend																Darlington MD	https://sites.google.com/site/ahsince1988/home	
5	Form the Ocean													Larks / Robins			Becket MA	next in 2020	
5	Camp Sturtevant Dance Weekend													Larks / Robins			Arcadia CA	http://www.caldancecoop.org/camp-sturtevant/	
6	Dance Trance Weekend																Lexington KY	http://www.dancetrance.ltda.ws/	
6	June Bug Bash																Pinellas Park FL	https://www.facebook.com/events/pinellas-park-auditorium/june-bug-bash/284762719071796/	
6	Faultline Frolic																Santa Rosa CA	https://nbcds.org/faultline-frolic-2019/	
6	Asheville Summer Soiree																Asheville NC	http://www.ashevillecontra.com/	
7	Ooh La La Dance Weekend																Richmond QC	http://oohlaladance.com/	
7	Delafield IndepenDance Daze Weekend																Delafield WI	http://www.delafieldcontra.com/Delafield_Contra_Weekend.html	
	Northfield Winter Stomp																	cancelled for 2017	
8	Drumlin Contra Dance Camp																	https://www.facebook.com/Drumlin-Contra-Dance-Camp-108143410543945/?	
8	Burning Man Contra Dance Camp																Black Rock City	http://www.contraburners.org/	
9	Labor Day Dawndance																Brattleboro VT	http://www.dawndance.org/	
3	Tropical Dance Vacation: Hawaii																Big Island, Hawaii	not in 2018	
5	Catapult!																Atlanta GA	not in 2018, butterfly whirl instead	
5	Memorial Day Dawndance																Brattleboro VT	http://www.dawndance.org/	needs organizers
3	Spring Fever Dance Weekend																Aptos CA	indefinite hiatus	
2	Midwinter Meltdown Dance Weekend																Lawrence KS	taking 2018 off	
1	A New Year's Affair																Jonesborough TN	can't find 2018 data; not sure if it happened	
1	Shenandoah Shindig																Dayton VA	can't find anything about 2018	
3	Memfest Dance Weekend																Memphis TN	can't find anything about 2018	
3	Contra Holiday in Medieval England																Ely, England	next happening in 2019	
3	Phoenix Spring Frolic																Mesa AZ	looks like they only did a winter one this year	
5	Wheatland Traditional Arts Weekend																Remus, M	no contra	
8	Fly the Coop Contra Weekend																Gainesville GA	doesn't seem to be in 2018?	
9	Oldtone Roots Festival																Hillsdale NY	very little contra in 2018	
9	Ozark Folk Center Dance Days																Mountain View AR	http://www.arkansascountrydance.org/ozark.htm	
9	Star Hampshire Traditional Music and Dance Weekend																Portsmouth NH	DEFUNCT	
9	Footfall Dance Weekend																High View WV	http://www.footfalldance.com/index.php	
10	Solefest Dance Weekend																Springfield MO	cancelled for 2018	
9	Northwest Passage Dance Camp																Rhododendron	ecd every other year	
10	Fine Time at Our House																Fayetteville AR	very little contra	
5	Blue Moon Dance Weekend																Huntsville AL	doesn't look like it happened in 2018	
10	Hoosier Partner																Indianapolis IN	not in 2019	
10	Looking Glass Music and Dance Festival																Lansing MI	http://www.lgmaa.org/lg_festival.html	
